Tipo	Ano	Autores	T€Ðtulo
Artigo	2025	ACOSTA ICL ET AL.	ANALYSIS OF FREE-LIVING SEABIRDS FROM BRAZIL AS POTENTIAL HOSTS OF *TOXOPLASMA GONDII* AND SEROLOGICAL INVESTIGATION FOR ANTIBODIES AGAINST *LEPTOSPIRA* spp.. VETERINARY RESEARCH COMMUNICATIONS 49:1-9
Artigo	2025	FIALHO MS ET AL.	[**ABUND€?NCIA E DENSIDADE DE JACAMINS (*PSOPHIA* spp.) EM UNIDADES DE CONSERVA€?€?O NA AMAZ€?NIA BRASILEIRA. BIODIVERSIDADE BRASILEIRA 15:45-66**](https://drive.google.com/file/d/1QXp0-uqMeNMjahfUlD4SZWt3F15-yHQW/view?usp=drive_link)
Artigo	2025	JACOBOSKI L ET AL.	[**A PRELIMINARY REPORT ON THE FEEDING STRATEGY EMPLOYED BY *HETEROXOLMIS DOMINICANA* (VIEILLOT, 1823) TO AVOID INGESTING URTICANTING SETAE PRESENT IN LEPIDOPTERA LARVAE. ORNITHOLOGY RESEARCH 33:50**](https://drive.google.com/file/d/1bBaFoi1-V1L63N4fP6CKQBjJsbtr5Ks8/view?usp=drive_link)
Artigo	2025	KUIKEN T ET AL.	[**EMERGENCE, SPREAD, AND IMPACT OF HIGH-PATHOGENICITY AVIAN INFLUENZA H5 IN WILD BIRDS AND MAMMALS OF SOUTH AMERICA AND ANTARCTICA. CONSERVATION BIOLOGY 40:e70052. https://doi.org/10.1111/cobi.70052.**](https://drive.google.com/file/d/1fqtLWIKWNReo--gwO6Z_FU2S9FKtutQb/view?usp=drive_link)
Artigo	2025	LIMA GS ET AL.	POTENTIALLY TOXIC ELEMENTS (PTEs) IN SEABIRDS FORAGING ACROSS A HETEROGENEOUS LANDSCAPE: CROSS-SPECIES BIOACCUMULATION PATTERNS. ENVIRONMENTAL POLLUTION 367:125609. https://doi.org/10.1016/j.envpol.2024.125609.
Resumo expandido	2025	SAGHIR R ET AL.	[**ECOSCAPE ANALYZER: A TOOL FOR PERFORMING SOUNDSCAPE ANALYSIS WITH FLEXIBLE PIPELINE FOR BIODIVERSITY ASSESMENT. IUI '25: 30th INTERNATIONAL CONFERENCE ON INTELLIGENT USER INTERFACES COMPANION. CAGLIARI, ITALY. COMPANION PROCEEDINGS OF THE 30th INTERNATIONAL CONFERENCE ON INTELLIGENT USER INTERFACES. NEW YORK, USA.**](https://drive.google.com/file/d/1S4KvPIf6igDAi4N4drKbPrAD8PWiDQuG/view?usp=drive_link)
Resumo	2025	CORTES LG ET AL.	€NDICES DE PAISAGEM AC€?STICA PARA MONITORAMENTO DE ANF€BIOS: UM ESTUDO DE CASO PARA O PARQUE NACIONAL DAS EMAS. XI CONGRESSO BRASILEIRO DE HERPETOLOGIA. MANAUS, BRASIL.
Resumo	2025	SILVA TC ET AL.	PADR€?ES AC€?STICOS SAZONAIS DA GRUTA DO PALMITO (MG) E SEU ENTORNO. 19TH INTERNATIONAL CONGRESS OF SPELEOLOGY & 38 CONGRESSO BRASILEIRO DE ESPELEOLOGIA. BELO HORIZONTE, BRASIL.
Artigo	2025	SILVA E ET AL.	[**WHAT CAN GROUND-DWELLING ANTS TELL US ABOUT DIFFERENT LAND-USE SYSTEMS IN THE BRAZILIAN AMAZON? FORESTS 16:1190. https://doi.org/10.3390/f16071190**](https://drive.google.com/file/d/1sejtE-Np9D_Mwdoz-ZDX9wGThZx3Q8NO/view?usp=drive_link)
Artigo	2025	PINHEIRO BT ET AL.	[**THE IMPACT OF RARE AND COMMON SPECIES ON THE FUNCTIONAL DIVERSITY OF FOREST BIRDS IN A PALM-DOMINATED LANDSPCAPE IN THE EASTERN AMAZON. ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY 126:104060. https://doi.org/10.1016/j.actao.2025.104060**](https://drive.google.com/file/d/1BEj2GzItI_QEylnpD3kHz6JX_Ah218tv/view?usp=drive_link)
Artigo	2025	CARDOSO MR ET AL.	[**LIMITED EVIDENCE OF BIODIVERSITY SPILLOVER FROM FOREST FRAGMENTS INTO OIL PALM PLANTATIONS IN THE AMAZON. JOURNAL OF APPLIED ECOLOGY 62:1939Ÿ??1952. https://doi.org/10.1111/1365-2664.70098**](https://drive.google.com/file/d/1Z7UJGlsX7ZMxky7wlXPXIQDaMCrZ2s0A/view?usp=drive_link)
Artigo	2025	GON€?ALVES-SOUZA T ET AL.	[**SPECIES TURNOVER DOES NOT RESCUE BIODIVERSITY IN FRAGMENTED LANDSCAPES. NATURE 640:702Ÿ??706. https://doi.org/10.1038/s41586-025-08688-7**](https://drive.google.com/file/d/1YBGYwzqdn35GRWINF7GqUKRXlXZ4tn_l/view?usp=drive_link)
Artigo	2025	BIASOTTO LD ET AL.	[**MAPPING PRIORITY AREAS TO MITIGATE THE RISK OF ELECTROCUTION OF RANGE-RESTRICTED BIRD SPECIES. JOURNAL OF APPLIED ECOLOGY 62:2787Ÿ??2799. https://doi.org/10.1111/1365-2664.70133**](https://drive.google.com/file/d/1iD-hdOMsLRELL1r1sJwc1P84FJXvTWuV/view?usp=drive_link)
Cap€Ðtulo	2025	CHUPIL H ET AL.	[**AVES MARINHAS BRASILEIRAS. IN: REVIS€?ES EM ZOOLOGIA: VERTEBRADOS MARINHOS DA COSTA BRASILEIRA. INSTITUTO DE PESQUISAS CANANEIA. CANANEIA, BRASIL.**](https://drive.google.com/file/d/1SNhfukG2QbXxupwY8KXS4NJT2AGWhXWs/view?usp=drive_link)
Artigo	2025	GRILO C ET AL.	[**GLOBAL ROADKILL DATA: A DATASET ON TERRESTRIAL VERTEBRATE MORTALITY CAUSED BY COLLISION WITH VEHICLES. SCIENTIFIC DATA 12:505. https://doi.org/10.1038/s41597-024-04207-x**](https://drive.google.com/file/d/1TokUR36UYpwyS3jnhU_LzoOd_UMORFjw/view?usp=drive_link)
Artigo	2025	LIMA DM ET AL.	[**TEMPORAL VARIATION IN THE DETECTION OF ENDANGERED BIRDS IN THE NORTHERN ATLANTIC FOREST. ZOOLOGIA 42:e24019. https://doi.org/10.1590/S1984-4689.v42.e24019**](https://drive.google.com/file/d/1z48SfSMfuXWjfC4BHlNQZTylVZnrdy63/view?usp=drive_link)
Artigo	2025	FONTANA CS ET AL.	[**BIRD COMMUNITY STRUCTURE CHANGES AS ARAUCARIA FOREST COVER INCREASES IN THE HIGHLANDS OF SOUTHEASTERN BRAZIL. BIRDS 6(3):37. https://doi.org/10.3390/birds6030037**](https://drive.google.com/file/d/19gSEWtRSmoXl7mPVoY38klqcIwrLy0pS/view?usp=drive_link)
Artigo	2024	LIMA PC ET AL.	[**SEROLOGICAL EVIDENCE OF WEST NILE VIRUS INFECTION IN WILD BIRDS IN THE AREA OF THE FIRST CONFIRMED HUMAN CASE OF WEST NILE FEVER IN BRAZIL. REVISTA PAN-AMAZONICA DE SAUDE 15:e202401483. https://doi.org/10.5123/S2176-6223202401483**](https://drive.google.com/file/d/1Hoq38dsjaf3nlbWbxhRwC3KgshnsVgYq/view?usp=drive_link)
Cap€Ðtulo	2024	JORGE RSP ET AL.	[**CONSIDERA€?€?ES FINAIS. IN: PROGRAMA NACIONAL DE MONITORAMENTO DA BIOSIVERSIDADE COMPONENTE FLORESTAL: SUBPROGRAMA TERRESTRE: RELAT€?RIO 2014-2022 ICMBIO. BRAS€LIA, BRASIL.**](https://drive.google.com/file/d/16BOLWFUMaGrsYLeYR5dJwZJkia21daB5/view?usp=drive_link)
Cap€Ðtulo	2024	OLIVEIRA IF ET AL.	[**BORBOLETAS FRUG€VORAS. IN: PROGRAMA NACIONAL DE MONITORAMENTO DA BIOSIVERSIDADE COMPONENTE FLORESTAL: SUBPROGRAMA TERRESTRE: RELAT€?RIO 2014-2022. ICMBIO. BRAS€LIA, BRASIL.**](https://drive.google.com/file/d/1K07rl5bkc5glNoEjhrSUX5yPafUxJo1F/view?usp=drive_link)
